bill_id,act_number
66759,229-20
66774,242-20
66775,243-20
66776,105-20
66778,106-20
66779,244-20
67368,411-20
67369,346-20
67419,345-20
67497,412-20
67512,413-20
67550,414-20
67635,415-20
67645,416-20
67652,449-20
67653,450-20
67654,451-20
67678,452-20
67724,508-20
67774,577-20
67775,578-20
67776,579-20
67790,523-20
67851,580-20
67878,581-20
67907,582-20
67908,583-20
68023,631-20
68025,584-20
68038,560-20
68037,660-20
68039,585-20
68215,661-20
68896,707-20
69103,854-20
69149,855-20
69150,856-20
69151,857-20
69152,858-20
69153,859-20
69154,860-20
69155,861-20
69329,880-20
69383,1035-20
69420,1036-20
69429,995-20
69470,1096-20
69471,826-20
69472,827-20
69549,1097-20
69566,996-20
69649,991-20
69650,1868-20
69657,992-20
69665,997-20
69672,825-20
69678,2061-20
69697,993-20
69867,998-20
69895,994-20
69979,1098-20
70051,1037-20
70058,1038-20
70059,1039-20
70162,1099-20
70174,2275-20
70266,1823-20
70271,1302-20
70317,1238-20
70332,1300-20
70420,1234-20
70445,1235-20
70545,1236-20
70546,1237-20
70632,1100-20
70743,2276-20
70764,1551-20
70776,1301-20
70805,1545-20
71040,1824-20
71128,1548-20
71129,1543-20
71176,1544-20
71305,2301-20
71310,1825-20
71416,1550-20
71518,1546-20
71577,1549-20
71578,1547-20
71613,1522-20
71705,2062-20
71712,1552-20
71757,2302-20
71853,1663-20
71887,2402-20
71988,1729-20
72021,1673-20
72068,1826-20
72084,1645-20
72202,1644-20
72272,1827-20
72288,1891-20
72290,1828-20
72289,1647-20
72325,1606-20
72326,1607-20
72328,1608-20
72338,1609-20
72448,1908-20
72490,1829-20
72565,1830-20
72674,2064-20
72873,1926-20
72874,1867-20
72875,2339-20
72980,1925-20
73078,2340-20
73148,2341-20
73163,2342-20
73172,2143-20
73230,2066-20
73231,2063-20
73232,2399-20
73346,1963-20
73430,2400-20
73535,2232-20
73544,2303-20
73625,2233-20
73628,2025-20
73732,2067-20
74156,2274-20
74186,2277-20
74204,2304-20
74205,2673-20
74213,2299-20
74218,2278-20
74279,2401-20
74280,2403-20
74301,2300-20
74357,2398-20
74391,2319-20
74442,2674-20
74506,2854-20
74507,2477-20
74592,2828-20
74596,2855-20
74742,2783-20
74771,2589-20
74802,2554-20
74803,2555-20
74874,2590-20
74875,2856-20
74919,2634-20
75015,2743-20
75056,2853-20
75105,2784-20
75128,2741-20
75129,2744-20
75130,2745-20
75155,2793-20
75204,2857-20
75360,2948-20
75361,2949-20
75527,2900-20
75557,2926-20
66525,1174-20
66527,963-20
66526,296-20
66529,819-20
66531,340-20
66522,473-20
66506,233-20
66507,249-20
66495,376-20
66494,377-20
67145,235-20
67146,236-20
67077,234-20
66457,372-20
66444,409-20
66449,165-20
66447,166-20
66556,164-20
66330,870-20
67147,237-20
66333,463-20
66405,232-20
66431,205-20
66539,208-20
66564,474-20
66560,370-20
66562,371-20
66568,1182-20
67171,238-20
67172,239-20
66359,250-20
67252,240-20
66491,286-20
66552,1320-20
67965,634-20
66547,309-20
67914,441-20
68913,629-20
66668,385-20
66934,167-20
66982,169-20
66849,396-20
66974,168-20
66929,400-20
66234,1-20
66235,3-20
66236,19-20
66237,2-20
66238,18-20
66239,26-20
66251,193-20
66867,82-20
66252,187-20
66881,40-20
66933,119-20
66253,198-20
66796,88-20
66255,133-20
66836,72-20
66240,39-20
66598,28-20
67399,434-20
66599,29-20
66604,32-20
66602,33-20
67720,488-20
66243,21-20
66246,22-20
66245,10-20
66244,11-20
66248,7-20
